"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Ethiopia","ETH","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"European Union","EUU","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8623.52718111623","","","","","","","","","","9342.79177872829","","","","","","","","","","","","","","","9966.9608849668","","","","","","","",
"Fragile and conflict affected situations","FCS","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2011.56043526926","","","","","","","","","","2412.91434857811","","","","","","","","","","","","","","","2940.88031025866","","","","","","","",
"Finland","FIN","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116.519823931","","","","","","","","","","126.916659466","","","","","","","","","","","","","","","125.7894347821","","","","","","","",
"Fiji","FJI","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.34507416666","","","","","","","","","","15.46811317384","","","","","","","","","","","","","","","21.88120637011","","","","","","","",
"France","FRA","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","599.901256341","","","","","","","","","","650.658523912","","","","","","","","","","","","","","","735.748834529","","","","","","","",
"Faroe Islands","FRO","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98234267812","","","","","","","","","","1.98234267812","","","","","","","","","","","","","","","2.45860029664","","","","","","","",
"Gabon","GAB","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.9455431762","","","","","","","","","","27.9440201435","","","","","","","","","","","","","","","36.9190351984","","","","","","","",
"United Kingdom","GBR","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","770.034596663","","","","","","","","","","787.223635941","","","","","","","","","","","","","","","825.794981582","","","","","","","",
